2026/09/22 07:13:15.053, 64.90 W, 2542 MHz
2026/09/22 07:13:16.059, 65.09 W, 2542 MHz
2026/09/22 07:13:17.059, 73.65 W, 2542 MHz
2026/09/22 07:13:18.059, 123.54 W, 2647 MHz
2026/09/22 07:13:19.059, 90.03 W, 2902 MHz
2026/09/22 07:13:20.059, 333.77 W, 2895 MHz
2026/09/22 07:13:21.059, 352.82 W, 2895 MHz
2026/09/22 07:13:22.060, 353.61 W, 2895 MHz
2026/09/22 07:13:23.060, 368.55 W, 2842 MHz
2026/09/22 07:13:24.060, 354.21 W, 2887 MHz
2026/09/22 07:13:25.060, 354.26 W, 2887 MHz
2026/09/22 07:13:26.060, 354.31 W, 2887 MHz
2026/09/22 07:13:27.060, 184.13 W, 2902 MHz
2026/09/22 07:13:28.061, 376.31 W, 2872 MHz
2026/09/22 07:13:29.061, 305.41 W, 2880 MHz
2026/09/22 07:13:30.061, 412.44 W, 2880 MHz
2026/09/22 07:13:31.061, 414.56 W, 2880 MHz
2026/09/22 07:13:32.061, 321.44 W, 2895 MHz
2026/09/22 07:13:33.062, 184.58 W, 2857 MHz
2026/09/22 07:13:34.062, 454.13 W, 2752 MHz
2026/09/22 07:13:35.062, 362.63 W, 2887 MHz
2026/09/22 07:13:36.062, 363.09 W, 2887 MHz
2026/09/22 07:13:37.062, 363.15 W, 2887 MHz
2026/09/22 07:13:38.063, 464.38 W, 2542 MHz
2026/09/22 07:13:39.063, 385.69 W, 2887 MHz
2026/09/22 07:13:40.063, 364.97 W, 2887 MHz
2026/09/22 07:13:41.063, 365.04 W, 2887 MHz
2026/09/22 07:13:42.063, 420.69 W, 2572 MHz
2026/09/22 07:13:43.063, 480.06 W, 2565 MHz
2026/09/22 07:13:44.063, 480.02 W, 2550 MHz
2026/09/22 07:13:45.064, 479.97 W, 2542 MHz
2026/09/22 07:13:46.064, 479.93 W, 2550 MHz
2026/09/22 07:13:47.064, 479.99 W, 2542 MHz
2026/09/22 07:13:48.064, 480.04 W, 2542 MHz
2026/09/22 07:13:49.064, 460.40 W, 2865 MHz
2026/09/22 07:13:50.065, 437.49 W, 2865 MHz
2026/09/22 07:13:51.065, 438.76 W, 2865 MHz
2026/09/22 07:13:52.065, 392.92 W, 2880 MHz
2026/09/22 07:13:53.065, 336.88 W, 2580 MHz
2026/09/22 07:13:54.065, 480.14 W, 2520 MHz
2026/09/22 07:13:55.065, 394.54 W, 2880 MHz
2026/09/22 07:13:56.066, 374.45 W, 2880 MHz
2026/09/22 07:13:57.066, 373.99 W, 2880 MHz
2026/09/22 07:13:58.066, 478.80 W, 2550 MHz
2026/09/22 07:13:59.066, 457.10 W, 2715 MHz
2026/09/22 07:14:00.066, 375.03 W, 2880 MHz
2026/09/22 07:14:01.066, 375.79 W, 2880 MHz
2026/09/22 07:14:02.067, 375.60 W, 2880 MHz
2026/09/22 07:14:03.067, 415.33 W, 2550 MHz
2026/09/22 07:14:04.067, 479.97 W, 2542 MHz
2026/09/22 07:14:05.067, 479.88 W, 2550 MHz
2026/09/22 07:14:06.067, 480.00 W, 2535 MHz
2026/09/22 07:14:07.068, 480.07 W, 2505 MHz
2026/09/22 07:14:08.068, 479.92 W, 2490 MHz
2026/09/22 07:14:09.068, 479.92 W, 2490 MHz
2026/09/22 07:14:10.068, 480.02 W, 2520 MHz
2026/09/22 07:14:11.068, 480.05 W, 2527 MHz
2026/09/22 07:14:12.068, 479.88 W, 2535 MHz
2026/09/22 07:14:13.069, 480.26 W, 2542 MHz
2026/09/22 07:14:14.069, 480.51 W, 2557 MHz
2026/09/22 07:14:15.070, 480.52 W, 2542 MHz
2026/09/22 07:14:16.070, 480.01 W, 2535 MHz
2026/09/22 07:14:17.070, 480.04 W, 2497 MHz
2026/09/22 07:14:18.071, 462.07 W, 2835 MHz
2026/09/22 07:14:19.071, 457.84 W, 2835 MHz
2026/09/22 07:14:20.071, 457.59 W, 2835 MHz
2026/09/22 07:14:21.071, 349.90 W, 2887 MHz
2026/09/22 07:14:22.072, 259.03 W, 2625 MHz
2026/09/22 07:14:23.072, 480.61 W, 2467 MHz
