2026/09/22 08:19:38.680, 600.24 W, 2730 MHz
2026/09/22 08:19:39.681, 600.31 W, 2707 MHz
2026/09/22 08:19:40.681, 598.60 W, 2655 MHz
2026/09/22 08:19:41.681, 598.95 W, 2677 MHz
2026/09/22 08:19:42.681, 599.06 W, 2715 MHz
2026/09/22 08:19:43.681, 601.90 W, 2715 MHz
2026/09/22 08:19:44.681, 599.56 W, 2670 MHz
2026/09/22 08:19:45.682, 600.37 W, 2670 MHz
2026/09/22 08:19:46.682, 509.48 W, 2842 MHz
2026/09/22 08:19:47.682, 482.08 W, 2842 MHz
2026/09/22 08:19:48.682, 481.51 W, 2842 MHz
2026/09/22 08:19:49.682, 552.85 W, 2752 MHz
2026/09/22 08:19:50.682, 601.72 W, 2707 MHz
2026/09/22 08:19:51.683, 599.89 W, 2655 MHz
2026/09/22 08:19:52.683, 599.68 W, 2670 MHz
2026/09/22 08:19:53.683, 599.84 W, 2692 MHz
2026/09/22 08:19:54.683, 599.33 W, 2707 MHz
2026/09/22 08:19:55.683, 601.11 W, 2692 MHz
2026/09/22 08:19:56.683, 599.80 W, 2677 MHz
2026/09/22 08:19:57.684, 493.15 W, 2865 MHz
2026/09/22 08:19:58.684, 428.04 W, 2865 MHz
2026/09/22 08:19:59.684, 428.26 W, 2865 MHz
2026/09/22 08:20:00.684, 210.01 W, 2880 MHz
2026/09/22 08:20:01.684, 299.74 W, 2737 MHz
2026/09/22 08:20:02.684, 600.51 W, 2692 MHz
2026/09/22 08:20:03.685, 599.21 W, 2647 MHz
2026/09/22 08:20:04.685, 599.95 W, 2670 MHz
2026/09/22 08:20:05.685, 600.69 W, 2655 MHz
2026/09/22 08:20:06.685, 600.18 W, 2632 MHz
2026/09/22 08:20:07.685, 600.67 W, 2662 MHz
2026/09/22 08:20:08.685, 598.24 W, 2662 MHz
2026/09/22 08:20:09.686, 600.78 W, 2662 MHz
2026/09/22 08:20:10.686, 598.58 W, 2625 MHz
2026/09/22 08:20:11.686, 467.60 W, 2865 MHz
2026/09/22 08:20:12.686, 409.95 W, 2865 MHz
2026/09/22 08:20:13.686, 409.43 W, 2865 MHz
2026/09/22 08:20:14.687, 378.21 W, 2850 MHz
2026/09/22 08:20:15.687, 605.85 W, 2692 MHz
2026/09/22 08:20:16.687, 600.43 W, 2685 MHz
2026/09/22 08:20:17.687, 598.42 W, 2677 MHz
2026/09/22 08:20:18.687, 599.50 W, 2662 MHz
2026/09/22 08:20:19.687, 599.92 W, 2617 MHz
2026/09/22 08:20:20.688, 598.65 W, 2640 MHz
2026/09/22 08:20:21.688, 600.17 W, 2625 MHz
2026/09/22 08:20:22.688, 601.59 W, 2677 MHz
2026/09/22 08:20:23.688, 601.60 W, 2632 MHz
2026/09/22 08:20:24.688, 532.49 W, 2865 MHz
2026/09/22 08:20:25.689, 411.33 W, 2865 MHz
2026/09/22 08:20:26.689, 411.14 W, 2865 MHz
2026/09/22 08:20:27.689, 366.52 W, 2880 MHz
2026/09/22 08:20:28.689, 541.63 W, 2752 MHz
2026/09/22 08:20:29.689, 600.01 W, 2707 MHz
2026/09/22 08:20:30.689, 599.31 W, 2655 MHz
2026/09/22 08:20:31.690, 600.21 W, 2632 MHz
2026/09/22 08:20:32.690, 600.60 W, 2655 MHz
2026/09/22 08:20:33.690, 597.01 W, 2617 MHz
2026/09/22 08:20:34.690, 598.56 W, 2625 MHz
2026/09/22 08:20:35.690, 598.94 W, 2632 MHz
2026/09/22 08:20:36.690, 601.81 W, 2625 MHz
2026/09/22 08:20:37.691, 600.26 W, 2677 MHz
2026/09/22 08:20:38.691, 598.43 W, 2737 MHz
2026/09/22 08:20:39.691, 602.16 W, 2707 MHz
2026/09/22 08:20:40.692, 597.95 W, 2640 MHz
2026/09/22 08:20:41.692, 600.63 W, 2647 MHz
2026/09/22 08:20:42.692, 600.62 W, 2655 MHz
2026/09/22 08:20:43.692, 596.34 W, 2617 MHz
2026/09/22 08:20:44.692, 602.59 W, 2662 MHz
2026/09/22 08:20:45.693, 598.55 W, 2640 MHz
2026/09/22 08:20:46.693, 602.62 W, 2647 MHz
2026/09/22 08:20:47.694, 597.07 W, 2692 MHz
2026/09/22 08:20:48.694, 600.78 W, 2700 MHz
2026/09/22 08:20:49.694, 601.94 W, 2655 MHz
2026/09/22 08:20:50.694, 599.24 W, 2677 MHz
2026/09/22 08:20:51.694, 598.55 W, 2655 MHz
2026/09/22 08:20:52.694, 597.05 W, 2617 MHz
2026/09/22 08:20:53.694, 598.62 W, 2647 MHz
2026/09/22 08:20:54.695, 600.25 W, 2647 MHz
2026/09/22 08:20:55.695, 599.06 W, 2617 MHz
2026/09/22 08:20:56.695, 600.32 W, 2655 MHz
2026/09/22 08:20:57.695, 597.64 W, 2655 MHz
2026/09/22 08:20:58.695, 535.04 W, 2827 MHz
2026/09/22 08:20:59.696, 474.31 W, 2827 MHz
2026/09/22 08:21:00.696, 474.33 W, 2827 MHz
2026/09/22 08:21:01.696, 529.71 W, 2760 MHz
2026/09/22 08:21:02.696, 603.61 W, 2685 MHz
2026/09/22 08:21:03.696, 597.18 W, 2670 MHz
2026/09/22 08:21:04.697, 601.30 W, 2692 MHz
2026/09/22 08:21:05.697, 600.82 W, 2670 MHz
2026/09/22 08:21:06.697, 598.11 W, 2625 MHz
2026/09/22 08:21:07.697, 603.49 W, 2677 MHz
2026/09/22 08:21:08.697, 598.90 W, 2617 MHz
2026/09/22 08:21:09.698, 602.90 W, 2655 MHz
2026/09/22 08:21:10.698, 597.97 W, 2610 MHz
2026/09/22 08:21:11.698, 600.27 W, 2625 MHz
2026/09/22 08:21:12.698, 447.07 W, 2865 MHz
2026/09/22 08:21:13.698, 414.17 W, 2865 MHz
2026/09/22 08:21:14.698, 414.10 W, 2865 MHz
2026/09/22 08:21:15.698, 272.46 W, 2880 MHz
2026/09/22 08:21:16.699, 145.93 W, 2850 MHz
2026/09/22 08:21:17.699, 595.93 W, 2685 MHz
2026/09/22 08:21:18.699, 599.85 W, 2685 MHz
2026/09/22 08:21:19.700, 599.43 W, 2677 MHz
2026/09/22 08:21:20.700, 599.62 W, 2677 MHz
2026/09/22 08:21:21.700, 599.49 W, 2625 MHz
2026/09/22 08:21:22.700, 600.27 W, 2640 MHz
2026/09/22 08:21:23.700, 599.13 W, 2617 MHz
2026/09/22 08:21:24.701, 601.12 W, 2677 MHz
2026/09/22 08:21:25.701, 599.82 W, 2610 MHz
2026/09/22 08:21:26.701, 599.73 W, 2662 MHz
2026/09/22 08:21:27.701, 596.37 W, 2602 MHz
2026/09/22 08:21:28.702, 603.70 W, 2617 MHz
2026/09/22 08:21:29.702, 601.91 W, 2632 MHz
2026/09/22 08:21:30.702, 600.12 W, 2647 MHz
2026/09/22 08:21:31.702, 597.43 W, 2640 MHz
2026/09/22 08:21:32.702, 597.51 W, 2602 MHz
2026/09/22 08:21:33.703, 595.34 W, 2587 MHz
2026/09/22 08:21:34.703, 600.16 W, 2625 MHz
2026/09/22 08:21:35.703, 601.04 W, 2617 MHz
2026/09/22 08:21:36.703, 597.15 W, 2632 MHz
2026/09/22 08:21:37.704, 599.09 W, 2602 MHz
2026/09/22 08:21:38.704, 603.06 W, 2610 MHz
2026/09/22 08:21:39.704, 595.35 W, 2587 MHz
2026/09/22 08:21:40.704, 604.98 W, 2632 MHz
2026/09/22 08:21:41.704, 597.33 W, 2602 MHz
2026/09/22 08:21:42.704, 600.15 W, 2580 MHz
2026/09/22 08:21:43.705, 601.09 W, 2625 MHz
2026/09/22 08:21:44.705, 599.48 W, 2677 MHz
2026/09/22 08:21:45.705, 450.75 W, 2835 MHz
2026/09/22 08:21:46.705, 434.63 W, 2835 MHz
2026/09/22 08:21:47.705, 434.52 W, 2835 MHz
2026/09/22 08:21:48.706, 371.76 W, 2775 MHz
2026/09/22 08:21:49.706, 604.44 W, 2662 MHz
2026/09/22 08:21:50.706, 599.54 W, 2647 MHz
2026/09/22 08:21:51.706, 600.92 W, 2677 MHz
2026/09/22 08:21:52.707, 598.47 W, 2647 MHz
2026/09/22 08:21:53.707, 598.88 W, 2610 MHz
2026/09/22 08:21:54.707, 603.97 W, 2662 MHz
2026/09/22 08:21:55.707, 599.38 W, 2617 MHz
2026/09/22 08:21:56.707, 600.32 W, 2647 MHz
2026/09/22 08:21:57.708, 600.46 W, 2610 MHz
2026/09/22 08:21:58.708, 598.52 W, 2640 MHz
2026/09/22 08:21:59.708, 596.84 W, 2602 MHz
2026/09/22 08:22:00.708, 601.75 W, 2632 MHz
2026/09/22 08:22:01.708, 600.49 W, 2617 MHz
2026/09/22 08:22:02.709, 598.98 W, 2655 MHz
2026/09/22 08:22:03.709, 597.62 W, 2617 MHz
2026/09/22 08:22:04.709, 602.67 W, 2617 MHz
2026/09/22 08:22:05.709, 599.49 W, 2602 MHz
2026/09/22 08:22:06.709, 598.51 W, 2610 MHz
2026/09/22 08:22:07.710, 596.91 W, 2572 MHz
2026/09/22 08:22:08.710, 606.05 W, 2617 MHz
2026/09/22 08:22:09.710, 599.99 W, 2632 MHz
2026/09/22 08:22:10.710, 594.75 W, 2602 MHz
2026/09/22 08:22:11.711, 605.17 W, 2632 MHz
2026/09/22 08:22:12.711, 599.38 W, 2602 MHz
2026/09/22 08:22:13.711, 598.01 W, 2617 MHz
2026/09/22 08:22:14.711, 601.76 W, 2610 MHz
2026/09/22 08:22:15.711, 597.68 W, 2632 MHz
2026/09/22 08:22:16.712, 595.64 W, 2677 MHz
2026/09/22 08:22:17.712, 437.02 W, 2835 MHz
2026/09/22 08:22:18.712, 435.86 W, 2835 MHz
2026/09/22 08:22:19.712, 435.55 W, 2835 MHz
2026/09/22 08:22:20.712, 343.22 W, 2775 MHz
2026/09/22 08:22:21.712, 602.48 W, 2662 MHz
2026/09/22 08:22:22.713, 599.51 W, 2655 MHz
2026/09/22 08:22:23.713, 600.33 W, 2677 MHz
2026/09/22 08:22:24.713, 598.01 W, 2647 MHz
2026/09/22 08:22:25.713, 599.38 W, 2610 MHz
2026/09/22 08:22:26.713, 600.29 W, 2670 MHz
2026/09/22 08:22:27.713, 599.39 W, 2617 MHz
2026/09/22 08:22:28.713, 601.86 W, 2647 MHz
2026/09/22 08:22:29.714, 596.85 W, 2602 MHz
2026/09/22 08:22:30.714, 600.28 W, 2632 MHz
2026/09/22 08:22:31.714, 596.75 W, 2587 MHz
2026/09/22 08:22:32.714, 603.30 W, 2625 MHz
2026/09/22 08:22:33.714, 599.15 W, 2610 MHz
2026/09/22 08:22:34.714, 599.29 W, 2640 MHz
2026/09/22 08:22:35.715, 598.60 W, 2625 MHz
2026/09/22 08:22:36.715, 600.67 W, 2617 MHz
2026/09/22 08:22:37.715, 600.40 W, 2610 MHz
2026/09/22 08:22:38.715, 600.43 W, 2617 MHz
2026/09/22 08:22:39.715, 598.47 W, 2587 MHz
2026/09/22 08:22:40.715, 604.57 W, 2625 MHz
2026/09/22 08:22:41.716, 597.72 W, 2632 MHz
2026/09/22 08:22:42.716, 592.35 W, 2580 MHz
2026/09/22 08:22:43.717, 607.17 W, 2632 MHz
2026/09/22 08:22:44.717, 596.08 W, 2602 MHz
2026/09/22 08:22:45.717, 588.47 W, 2580 MHz
2026/09/22 08:22:46.717, 601.19 W, 2602 MHz
2026/09/22 08:22:47.718, 596.88 W, 2617 MHz
2026/09/22 08:22:48.718, 596.16 W, 2625 MHz
2026/09/22 08:22:49.718, 602.76 W, 2655 MHz
2026/09/22 08:22:50.718, 594.77 W, 2752 MHz
2026/09/22 08:22:51.718, 603.76 W, 2722 MHz
2026/09/22 08:22:52.719, 599.27 W, 2632 MHz
2026/09/22 08:22:53.719, 601.99 W, 2685 MHz
2026/09/22 08:22:54.719, 600.20 W, 2670 MHz
2026/09/22 08:22:55.719, 600.07 W, 2632 MHz
